serie,n,media,mediana,desv_est,minimo,maximo,rango,asimetria,curtosis
Libras vendidas por semana,290,18681.55517241379,17673,6840.507939520858,3826,44740,40914,0.6323074848896506,0.5636614418064347
Visitas por dia,462,150.28354978354977,122,98.16949191637937,37,664,627,2.1669722118447683,5.86198963214027
