periodo,visits,unique_visits,revenue,profit,lbs_sold
Initial,1055.2142857142858,975.9285714285714,608250.123,200233.40714285715,18736.7285
Pre-Promotion,562.952380952381,516.8095238095239,534313.5173809524,159932.03333333333,18440.774285714284
Promotion,1814.3529411764705,1738.8235294117646,456398.848,131929.9,17112.923
Post-Promotion,856.5714285714286,800.7857142857143,371728.01678571425,111045.82142857142,14577.793857142857
