variable,Initial,Pre-Promotion,Promotion,Post-Promotion,var_promo_vs_pre,var_post_vs_pre
visits,1055.2142857142858,562.952380952381,1814.3529411764705,856.5714285714286,222.29243583747146,52.15699543224497
unique_visits,975.9285714285714,516.8095238095239,1738.8235294117646,800.7857142857143,236.45346095685116,54.947940661568225
revenue,608250.123,534313.5173809524,456398.848,371728.01678571425,-14.582200683012314,-30.428857834663138
profit,200233.40714285715,159932.03333333333,131929.9,111045.82142857142,-17.50877091331088,-30.566866990850016
lbs_sold,18736.7285,18440.774285714284,17112.923,14577.793857142857,-7.20062653086615,-20.948038128550838
